ARPT_ID,ICAO_ID,ARPT_NAME,LAT_DECIMAL,LONG_DECIMAL,ELEV,RESP_ARTCC_ID,COMPUTER_ID,ARTCC_NAME,TWR_TYPE_CODE,DCC REGION,ASPM82,OEP35,Core30,Tower,Approach,Secondary Approach,Departure,Secondary Departure,Approach/Departure,Approach ID,Secondary Approach ID,Departure ID,Secondary Departure ID,Approach/Departure ID,Consolidated Approach,Consolidated Approach ID,OPSNET45
VG59,,CEDAR POINT LANDING,37.06944444,-80.64944444,1865,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
44VA,,BIG HILL,37.73124,-79.81115944,1620,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
79VG,,PERKEY,37.66527777,-79.81241666,1200,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
89VA,,HIDDEN RIVER,38.82469305,-78.52180416,796,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
2VA1,,JETT AIRPARK,37.89596361,-76.35522472,90,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VG51,,SENTARA OBICI HOSPITAL,36.77444166,-76.58109444,55,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
EMV,KEMV,EMPORIA-GREENSVILLE RGNL,36.68685805,-77.48274888,126.7,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,WASHINGTON ARTCC,,WASHINGTON ARTCC,,,ZDC,,ZDC,,,WASHINGTON ARTCC,ZDC,FALSE
73VA,,SOUTHERN VIRGINIA MEDICAL CENTER,36.70263611,-77.53695,130,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
26VA,,FAIRFAX COUNTY POLICE,38.85320277,-77.37400555,450,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
72VA,,INOVA FAIRFAX HOSPITAL,38.85705638,-77.22637083,522,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
74VA,,INOVA FAIR OAKS HOSPITAL,38.88445277,-77.378725,466,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VA65,,ROCK,37.8625,-79.35736111,1600,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
05VA,,PROVIDENCE,37.22416666,-78.41861111,445,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
FVX,KFVX,FARMVILLE RGNL,37.35752777,-78.43780555,415.7,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,ROANOKE,,ROANOKE,,,ROA,,ROA,,,ROANOKE,ROA,FALSE
14VG,,ABILENE,37.16805555,-78.50083333,590,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VA77,,SOUTHSIDE COMMUNITY HOSPITAL,37.30188013,-78.40293894,344,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
NFE,KNFE,FENTRESS NALF,36.69203638,-76.13456402,16,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,OCEANA,,,,,NTU,,,,,OCEANA,NTU,FALSE
VA04,,BARROWS,37.49207555,-79.92865416,1100,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VA83,,FINCASTLE,37.52235388,-79.85198694,1140,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
09VG,,AUGUSTA MEDICAL CENTER,38.09558333,-78.98673333,1362,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
09VA,,ALUM RIDGE,36.97651777,-80.49394361,2375,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VA06,,DEER RUN,36.99429583,-80.45449638,2400,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
W90,,NEW LONDON,37.27172777,-79.3359,842,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,ROANOKE,,ROANOKE,,,ROA,,ROA,,,ROANOKE,ROA,FALSE
APH,KAPH,AP HILL LZ (FORT AP HILL),38.06889025,-77.318961,219.6,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,POTOMAC,,POTOMAC,,,PCT,,PCT,,,POTOMAC,PCT,FALSE
DAA,KDAA,DAVISON AAF,38.71492277,-77.18089416,73.5,ZDC,ZCW,WASHINGTON,ATCT,Northeast,FALSE,FALSE,FALSE,DAVIDSON,POTOMAC,,POTOMAC,,,PCT,,PCT,,,POTOMAC,PCT,FALSE
VG93,,FORT BELVOIR COMMUNITY HOSPITAL,38.70663055,-77.14494444,132,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
FAF,KFAF,FELKER AAF,37.13260905,-76.60893566,11.6,ZDC,ZCW,WASHINGTON,ATCT,Northeast,FALSE,FALSE,FALSE,FELKER,NORFOLK,,NORFOLK,,,ORF,,ORF,,,NORFOLK,ORF,FALSE
VA35,,FORT LEE NR 1/HQS,37.24181638,-77.34303555,100,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VA39,,FORT LEE AHP,37.25466388,-77.32716388,100,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
FKN,KFKN,FRANKLIN RGNL,36.70029638,-76.90213555,40.3,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,NORFOLK,,NORFOLK,,,ORF,,ORF,,,NORFOLK,ORF,FALSE
9VA9,,SOUTHAMPTON MEML HOSPITAL,36.69306388,-76.937,44,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VG11,,CARRSVILLE VOL FIRE DEPT,36.71069444,-76.82298611,77,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VG65,,BIGLER AIRFIELD,37.49326027,-75.90044133,17,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
EZF,KEZF,SHANNON,38.26689527,-77.44924027,85,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,QUANTICO,POTOMAC,QUANTICO,POTOMAC,,NYG,PCT,NYG,PCT,,QUANTICO / POTOMAC,NYG / PCT,FALSE
5VA5,,CHIMNEY VIEW,38.40345777,-77.31581444,25,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
RMN,KRMN,STAFFORD RGNL,38.39913472,-77.45660777,219.1,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,QUANTICO,POTOMAC,QUANTICO,POTOMAC,,NYG,PCT,NYG,PCT,,QUANTICO / POTOMAC,NYG / PCT,FALSE
03VA,,SPOTSYLVANIA RGNL MEDICAL CENTER,38.21661666,-77.49555,237,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VA42,,DOGWOOD AIRPARK,38.35921733,-77.45049436,183.9,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
4VG8,,ROBBIE CAMPBELL MEML AIRFIELD,38.14156122,-77.52872402,277,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
6VA7,,MARY WASHINGTON HOSPITAL,38.31085277,-77.48516388,179,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
FRR,KFRR,FRONT ROYAL-WARREN COUNTY,38.91751222,-78.25337333,703.6,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,POTOMAC,,POTOMAC,,,PCT,,PCT,,,POTOMAC,PCT,FALSE
VA36,,WARREN MEMORIAL REPLACEMENT HOSPITAL,38.91937777,-78.15459166,787,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
25VG,,CT FIELDS,36.6356,-80.9139,2350,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VA80,,TWIN COUNTY RGNL,36.67024444,-80.92330555,2581,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
HLX,KHLX,TWIN COUNTY,36.76603861,-80.82356138,2693.7,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,ROANOKE,,ROANOKE,,,ROA,,ROA,,,ROANOKE,ROA,FALSE
VA70,,RIVERSIDE WALTER REED HOSPITAL,37.41978333,-76.54290833,75,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
92VA,,NEW QUARTER FARM,37.34472222,-76.56444444,38,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
GVE,KGVE,GORDONSVILLE MUNI,38.15598416,-78.16577972,452,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,POTOMAC,,POTOMAC,,,PCT,,PCT,,,POTOMAC,PCT,FALSE
VA46,,TIMBER RIDGE AIRPARK,39.29621222,-78.36222805,1024,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
48VA,,AL'S FLD,39.29065694,-78.35083888,1120,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VA48,,LOCKERMAN,37.03819944,-79.59614027,795,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
7VG4,,COASTAL SEAPLANES,37.4886265,-76.2966945,0,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
06VA,,MOUNT HOREB FLD,38.24901861,-78.85530333,1160,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
33VA,,FOX FIRE,36.78430388,-79.04973638,535,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
LFI,KLFI,LANGLEY AFB,37.08288888,-76.36054444,8.4,ZDC,ZCW,WASHINGTON,ATCT,Northeast,FALSE,FALSE,FALSE,LANGLEY,NORFOLK,,NORFOLK,,,ORF,,ORF,,,NORFOLK,ORF,FALSE
71VA,,SENTARA HAMPTON GENERAL HOSPITAL,37.05650833,-76.38918611,25,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VA50,,WOODS FARM AIRSTRIP,37.7151425,-77.30247833,57,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
36VA,,CARILION WESTLAKE CENTER,37.11597547,-79.7179715,1002,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
2VG3,,LINVILLE-EDOM,38.54861111,-78.87111111,1350,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VA52,,FRANK FLD,38.48512333,-78.94530694,1650,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VA47,,ROCKINGHAM MEML HOSPITAL,38.40533055,-78.85404166,1452,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
45VA,,UVA HEALTH/HAYMARKET MEDICAL CENTER,38.81995833,-77.64125277,364,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
14VA,,KRENS FARM,39.22899111,-77.74665972,790,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
00VI,,GROUNDHOG MOUNTAIN,36.66333333,-80.4995,2680,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
57VA,,WEMMERING,36.71915,-80.54731388,2951,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
62VA,,GRASSO SALVAGE,36.66987305,-76.7285675,70,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
7VA3,,HOPEWELL,37.28737083,-77.27108833,35,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
7VA4,,BERMUDA HUNDRED,37.29570416,-77.27108833,15,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VG42,,HENSHAW,37.25236111,-77.15266666,85,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
HSP,KHSP,INGALLS FLD,37.95145277,-79.83388888,3792.4,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,WASHINGTON ARTCC,,WASHINGTON ARTCC,,,ZDC,,ZDC,,,WASHINGTON ARTCC,ZDC,FALSE
47VG,,BATH COMMUNITY HOSPITAL,37.99336944,-79.83185555,2365,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
18VA,,ENGLISH,37.10375361,-79.30113472,550,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
0VA2,,RIVERWOOD,37.79651777,-79.76671416,1020,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
0VG,,LEE COUNTY,36.654085,-83.21784666,1410.9,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,ATLANTA ARTCC,,ATLANTA ARTCC,,,ZTL,,ZTL,,,ATLANTA ARTCC,ZTL,FALSE
W31,,LUNENBURG COUNTY,36.96040277,-78.18511111,526,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,WASHINGTON ARTCC,,WASHINGTON ARTCC,,,ZDC,,ZDC,,,WASHINGTON ARTCC,ZDC,FALSE
49VA,,RAPPAHANNOCK GENERAL HOSPITAL,37.70185833,-76.38789444,30,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VA08,,LONGBRANCH,37.71707944,-76.358835,20,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VA57,,POWHATAN,38.24846166,-77.219145,60,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VG31,,NESTER FUNNY FARM,36.73213802,-80.55966886,2721,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
LVL,KLVL,BRUNSWICK COUNTY,36.77462916,-77.79378194,328.7,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,WASHINGTON ARTCC,,WASHINGTON ARTCC,,,ZDC,,ZDC,,,WASHINGTON ARTCC,ZDC,FALSE
04VA,,RUSSELL COUNTY MEDICAL CENTER,36.89825555,-82.07848333,2004,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
34VA,,INOVA LOUDOUN HOSPITAL,39.07434444,-77.47908611,348.4,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
3VA5,,GOOSE HUNT FARM,39.02888888,-77.625,340,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
JYO,KJYO,LEESBURG EXEC,39.07797222,-77.5575,389.5,ZDC,ZCW,WASHINGTON,ATCT,Northeast,FALSE,FALSE,FALSE,LEESBURG TOWER,POTOMAC,,POTOMAC,,,PCT,,PCT,,,POTOMAC,PCT,FALSE
6VG8,,LONGVIEW,39.17027777,-77.51916666,279,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
8VA7,,CARILION ROCKBRIDGE COMMUNITY HOSPITAL,37.77935977,-79.44117638,1117,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
7VA5,,LONG ISLAND,37.10410138,-79.09119166,636,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
LKU,KLKU,LOUISA COUNTY/FREEMAN FLD,38.00982472,-77.97012666,493.7,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,POTOMAC,,POTOMAC,,,PCT,,PCT,,,POTOMAC,PCT,FALSE
VA61,,LOVETTSVILLE VINTAGE AERODROME,39.26489166,-77.65364166,529,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VA62,,THE GRASS PATCH,39.25788888,-77.65386388,530,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
8VA6,,FLATWOODS,37.73819638,-78.96224611,840,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VA96,,FABER,37.82541944,-78.73168472,640,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
1VA3,,TYE RIVER,37.65819722,-78.94557777,650,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VG52,,WOODRIDGE FLD,37.83916666,-78.82166666,663,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
5VA1,,ALLEGHANY RGNL HOSPITAL,37.79263888,-79.88091944,1136,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
LUA,KLUA,LURAY CAVERNS,38.66671047,-78.50083502,902.4,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,WASHINGTON ARTCC,,WASHINGTON ARTCC,,,ZDC,,ZDC,,,WASHINGTON ARTCC,ZDC,FALSE
CD27,,PAGE MEML HOSPITAL,38.662975,-78.46744722,897,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
W24,,FALWELL,37.37792083,-79.12224527,939,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,ROANOKE,,ROANOKE,,,ROA,,ROA,,,ROANOKE,ROA,FALSE
50VA,,L G HOSPITAL,37.41742222,-79.17065833,718,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
LYH,KLYH,LYNCHBURG RGNL/PRESTON GLENN FLD,37.32538888,-79.20122222,938.2,ZDC,ZCW,WASHINGTON,ATCT,Northeast,FALSE,FALSE,FALSE,LYNCHBURG,ROANOKE,,ROANOKE,,,ROA,,ROA,,,ROANOKE,ROA,FALSE
3VG2,,MACHIPONGO INTL,37.38833333,-75.8925,36,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VG43,,ARROWPOINT,38.30638888,-78.09888888,315,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VG57,,MAPLES FLD,38.60567638,-77.58471055,225,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
27VA,,UVA HEALTH/PRINCE WILLIAM MEDICAL CENTER,38.76604722,-77.48795833,243,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
51VA,,SKYVIEW,38.71622861,-77.63387972,340,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
0VA3,,HUNT,37.69875361,-77.09524972,150,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
0VI1,,BROOKLYN,37.68888888,-77.10138888,145,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
04VG,,MANQUIN FLIGHT PARK,37.71443333,-77.21181666,50,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VA59,,SOUTH FORK FLD,36.7668625,-81.57741805,2290,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
MKJ,KMKJ,MOUNTAIN EMPIRE,36.89484888,-81.34994611,2558.2,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,ATLANTA ARTCC,,ATLANTA ARTCC,,,ZTL,,ZTL,,,ATLANTA ARTCC,ZTL,FALSE
VA12,,GRAVELY,36.64680416,-79.79698055,750,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
6VA2,,LOURY LESTER AIRPARK,36.74180361,-79.84781527,1030,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
40VA,,SOVAH HEALTH MARTINSVILLE,36.69983055,-79.86621666,1010,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
MTV,KMTV,BLUE RIDGE,36.6307525,-80.01833833,940.9,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,GREENSBORO,,GREENSBORO,,,GSO,,GSO,,,GREENSBORO,GSO,FALSE
VA72,,COVINGTON,36.6001375,-80.03865583,940,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
77VA,,COOPERS MOUNTAIN,36.838895,-79.812177,1090,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
9VA1,,HOLLY POINT,37.40541583,-76.38827861,12,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VA73,,MAZZA,37.244595,-77.49415277,190,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VA58,,RIVER BEND,38.90611111,-78.44444444,606,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VA49,,LYNNHAVEN FLD,38.33111111,-78.75444444,1100,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VG54,,BEAR RIVER FLD,38.31901388,-78.76370833,1050,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
MFV,KMFV,ACCOMACK COUNTY,37.64687888,-75.76104527,47.6,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,PATUXENT,POTOMAC,PATUXENT,POTOMAC,,NHK,PCT,NHK,PCT,,PATUXENT / POTOMAC,NHK / PCT,FALSE
VA79,,HICKORY TREE FARM,38.95288833,-77.74693833,544,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
53VA,,HORSE FEATHERS,38.63400972,-77.7574925,390,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VG68,,BON SECOURS ST FRANCIS MEDICAL CENTER,37.46693888,-77.66008611,270,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
VA81,,CUB FLD,37.94541861,-77.89943972,396,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
W91,,SMITH MOUNTAIN LAKE,37.10772222,-79.59247222,892.2,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,ROANOKE,,ROANOKE,,,ROA,,ROA,,,ROANOKE,ROA,FALSE
VA68,,LAKEVIEW AERODROME,37.11875416,-79.60280805,1020,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
7VA9,,HANNAH FLD,38.39833333,-79.60027777,3049,ZDC,ZCW,WASHINGTON,NON-ATCT,Northeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
